city,category,count
atlanta,Mobile Coupons ,4
atlanta,Journalism ,4
atlanta,Curated Web ,4
atlanta,Internet Infrastructure ,4
atlanta,All Students ,4
atlanta,Defense ,4
atlanta,Photography ,4
atlanta,Hospitals ,4
atlanta,Event Management ,4
atlanta,Corporate Wellness ,4
atlanta,Virtual Currency ,4
atlanta,Media ,4
atlanta,Rental Housing ,5
atlanta,Payments ,5
atlanta,Social Recruiting ,5
atlanta,Games ,5
atlanta,Nightclubs ,5
atlanta,Film Distribution ,5
atlanta,Application Platforms ,5
atlanta,Vacation Rentals ,5
atlanta,Local Advertising ,5
atlanta,Bridging Online and Offline ,5
atlanta,Politics ,5
atlanta,Logistics ,5
atlanta,College Campuses ,5
atlanta,E Learn ,5
atlanta,Performing Arts ,5
atlanta,Blogging Platforms ,5
atlanta,Healthcare Services ,5
atlanta,Writers ,5
atlanta,Aerospace ,6
atlanta,Video ,6
atlanta,Publishing ,6
atlanta,Usa ,6
atlanta,Enterprise Security ,6
atlanta,Digital Entertainment ,6
atlanta,Sales Automation ,6
atlanta,Security ,6
atlanta,Information Technology ,6
atlanta,United States ,6
atlanta,Families ,6
atlanta,Communities ,6
atlanta,Cloud Data Services ,6
atlanta,College Recruiting ,6
atlanta,Medical ,6
atlanta,Content ,6
atlanta,Drones ,6
atlanta,Video Streaming ,6
atlanta,Groceries ,6
atlanta,Reviews and Recommendations ,6
atlanta,Online Shopping ,6
atlanta,Promotional ,6
atlanta,Point of Sale ,6
atlanta,Biotechnology ,6
atlanta,Travel & Tourism ,6
atlanta,Messaging ,6
atlanta,Private Social Networking ,6
atlanta,Search ,6
atlanta,Non Profit ,6
atlanta,Home Decor ,7
atlanta,Collaboration ,7
atlanta,Tutoring ,7
atlanta,Mobile Application ,7
atlanta,Teenagers ,7
atlanta,Women-Focused ,7
atlanta,Real Estate Investors ,7
atlanta,User Experience Design ,7
atlanta,Peer-to-Peer ,7
atlanta,Entertainment ,7
atlanta,Hip Hop ,7
atlanta,Project Management ,7
atlanta,Email Marketing ,7
atlanta,Television ,7
atlanta,Internet of Things ,7
atlanta,Internet ,8
atlanta,Ventures for Good ,8
atlanta,Fitness ,8
atlanta,Parenting ,8
atlanta,Art ,8
atlanta,Telecommunications ,8
atlanta,Deals ,8
atlanta,Nightlife ,8
atlanta,Kids ,8
atlanta,News ,8
atlanta,Retail Technology ,8
atlanta,Young Adults ,8
atlanta,Android ,8
atlanta,Commercial Real Estate ,8
atlanta,Consumer Electronics ,9
atlanta,Internet TV ,9
atlanta,Travel ,9
atlanta,Advertising Platforms ,9
atlanta,Online Travel ,9
atlanta,Musicians ,9
atlanta,iOS ,9
atlanta,Video Games ,9
atlanta,Human Resources ,9
atlanta,Crowdfunding ,9
atlanta,Training ,9
atlanta,Mobile Payments ,9
atlanta,Legal ,10
atlanta,Film ,10
atlanta,Predictive Analytics ,10
atlanta,Subscription Businesses ,10
atlanta,Bitcoin ,10
atlanta,Finance Technology ,10
